"Notes"	"County"	"County Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Pike County, PA"	"42103"	"Black or African American"	"2054-5"	0	35	0.0 (Unreliable)
	"Pike County, PA"	"42103"	"White"	"2106-3"	4	2888	138.5 (Unreliable)
"Total"	"Pike County, PA"	"42103"			4	2923	136.8 (Unreliable)
	"Potter County, PA"	"42105"	"Black or African American"	"2054-5"	0	1	0.0 (Unreliable)
	"Potter County, PA"	"42105"	"White"	"2106-3"	2	1945	102.8 (Unreliable)
"Total"	"Potter County, PA"	"42105"			2	1946	102.8 (Unreliable)
	"Schuylkill County, PA"	"42107"	"Black or African American"	"2054-5"	0	155	0.0 (Unreliable)
	"Schuylkill County, PA"	"42107"	"White"	"2106-3"	22	17233	127.7
"Total"	"Schuylkill County, PA"	"42107"			22	17388	126.5
	"Snyder County, PA"	"42109"	"Black or African American"	"2054-5"	0	32	0.0 (Unreliable)
	"Snyder County, PA"	"42109"	"White"	"2106-3"	8	4172	191.8 (Unreliable)
"Total"	"Snyder County, PA"	"42109"			8	4204	190.3 (Unreliable)
	"Somerset County, PA"	"42111"	"Black or African American"	"2054-5"	0	15	0.0 (Unreliable)
	"Somerset County, PA"	"42111"	"White"	"2106-3"	16	9222	173.5 (Unreliable)
"Total"	"Somerset County, PA"	"42111"			16	9237	173.2 (Unreliable)
	"Sullivan County, PA"	"42113"	"Black or African American"	"2054-5"	0	1	0.0 (Unreliable)
	"Sullivan County, PA"	"42113"	"White"	"2106-3"	2	621	322.1 (Unreliable)
"Total"	"Sullivan County, PA"	"42113"			2	622	321.5 (Unreliable)
	"Susquehanna County, PA"	"42115"	"Black or African American"	"2054-5"	0	11	0.0 (Unreliable)
	"Susquehanna County, PA"	"42115"	"White"	"2106-3"	9	4864	185.0 (Unreliable)
"Total"	"Susquehanna County, PA"	"42115"			9	4875	184.6 (Unreliable)
	"Tioga County, PA"	"42117"	"Black or African American"	"2054-5"	0	9	0.0 (Unreliable)
	"Tioga County, PA"	"42117"	"White"	"2106-3"	7	4627	151.3 (Unreliable)
"Total"	"Tioga County, PA"	"42117"			7	4636	151.0 (Unreliable)
	"Union County, PA"	"42119"	"Black or African American"	"2054-5"	0	383	0.0 (Unreliable)
	"Union County, PA"	"42119"	"White"	"2106-3"	4	4175	95.8 (Unreliable)
"Total"	"Union County, PA"	"42119"			4	4558	87.8 (Unreliable)
	"Venango County, PA"	"42121"	"Black or African American"	"2054-5"	0	53	0.0 (Unreliable)
	"Venango County, PA"	"42121"	"White"	"2106-3"	7	7180	97.5 (Unreliable)
"Total"	"Venango County, PA"	"42121"			7	7233	96.8 (Unreliable)
	"Warren County, PA"	"42123"	"Black or African American"	"2054-5"	0	12	0.0 (Unreliable)
	"Warren County, PA"	"42123"	"White"	"2106-3"	7	5540	126.4 (Unreliable)
"Total"	"Warren County, PA"	"42123"			7	5552	126.1 (Unreliable)
	"Washington County, PA"	"42125"	"Black or African American"	"2054-5"	2	676	295.9 (Unreliable)
	"Washington County, PA"	"42125"	"White"	"2106-3"	39	23696	164.6
"Total"	"Washington County, PA"	"42125"			41	24372	168.2
	"Wayne County, PA"	"42127"	"Black or African American"	"2054-5"	0	56	0.0 (Unreliable)
	"Wayne County, PA"	"42127"	"White"	"2106-3"	6	4562	131.5 (Unreliable)
"Total"	"Wayne County, PA"	"42127"			6	4618	129.9 (Unreliable)
	"Westmoreland County, PA"	"42129"	"Black or African American"	"2054-5"	0	742	0.0 (Unreliable)
	"Westmoreland County, PA"	"42129"	"White"	"2106-3"	54	44256	122.0
"Total"	"Westmoreland County, PA"	"42129"			54	44998	120.0
	"Wyoming County, PA"	"42131"	"Black or African American"	"2054-5"	0	7	0.0 (Unreliable)
	"Wyoming County, PA"	"42131"	"White"	"2106-3"	4	3490	114.6 (Unreliable)
"Total"	"Wyoming County, PA"	"42131"			4	3497	114.4 (Unreliable)
	"York County, PA"	"42133"	"Black or African American"	"2054-5"	1	1094	91.4 (Unreliable)
	"York County, PA"	"42133"	"White"	"2106-3"	35	40986	85.4
"Total"	"York County, PA"	"42133"			36	42080	85.6
"Total"					1670	1354268	123.3
